# Netscape HTTP Cookie File
# https://curl.haxx.se/docs/http-cookies.html
# This file was generated by libcurl! Edit at your own risk.

.ebay.com	TRUE	/	FALSE	0	ebay	%5Ejs%3D1%5Esbf%3D%23000000%5E
#HttpOnly_.ebay.com	TRUE	/	TRUE	0	s	CgAD4ACBgSQY3ZmU0YWFlNjYxNzcwYWI4ZjVmMWE5MDNhZmZlNmEwYTc6jPqS
.ebay.com	TRUE	/	FALSE	1678384083	dp1	bu1p/QEBfX0BAX19AQA**640a1bc7^pbf/#e000200000000000000000640a1bd3^bl/RU640a1bc7^
.ebay.com	TRUE	/	TRUE	1678384071	nonsession	BAQAAAXYrDFi8AAaAADMABmIo6EczNTc0MDAAygAgZAobx2ZlNGFhZTY2MTc3MGFiOGY1ZjFhOTAzYWZmZTZhMGE3AMsAAWBHu88ylMH0xtImwPR8B9VXEItn62vojsc*
.ebay.com	TRUE	/	TRUE	1678384082	npii	btguid/fe4aae661770ab8f5f1a903affe6a0a7640a1bd2^cguid/fe4ab59c1770a1b5b6128a13f9566f58640a1bd2^
#HttpOnly_.ebay.com	TRUE	/	FALSE	1646848071	ns1	BAQAAAXYrDFi8AAaAANgASmIo6EdjNjl8NjAxXjE2MTQ4NzkwNDg4NTZeXjFeM3wyfDV8NHw3fDExXl5eNF4zXjEyXjEyXjJeMV4xXjBeMV4wXjFeNjQ0MjQ1OTA3NS3seCUunAWdbObRfBqrokdm9fUt
.ebay.com	TRUE	/	FALSE	1648575062	__gads=ID=562ed053c44c491f-22dc62f8acba0041:T=1614879062:S	ALNI_MaF8GjMIwonImmBuq-tiyy5mKynJA
#HttpOnly_.doubleclick.net	TRUE	/	TRUE	1677951065	IDE	AHWqTUk8cPnDSAnk1M6D7tuRqJGNNtLCIyEKilCfmk-cdlA5OylZ0_XVJ2Pc9kPB
.casalemedia.com	TRUE	/	TRUE	1646415158	CMID	YEEZXG-.FWln0kJJZyOsQwAA
.casalemedia.com	TRUE	/	TRUE	1622655158	CMPS	1164
#HttpOnly_.adnxs.com	TRUE	/	TRUE	1622655076	uuid2	651212110610534933
#HttpOnly_.adnxs.com	TRUE	/	TRUE	1622655076	anj	dTM7k!M41.F7/.XF']wIg2GVJFm(Tq!1yIE`fS1ueD1W-044)d+]NF*GzU2'+o%FNA?HfNVv@SQnWyR:2XBC%=/!hy9RFMZ9T5_m9TG`L!+(.d?_Liy
.casalemedia.com	TRUE	/	TRUE	1622655158	CMPRO	1134
.casalemedia.com	TRUE	/	TRUE	1646415068	CMRUM3	2d6041195c2760CAESELjtt2DpqyvdkgwPiawPYLc
.ebay.com	TRUE	/	FALSE	1648575062	__gads=ID=562ed053c44c491f:T=1614879062:S	ALNI_MZmzO_ET86knZ-DbLfF8STzXBmW5A
.openx.net	TRUE	/	TRUE	1646415112	i	4510ecfc-01ab-4f51-8dfc-e5b572017b74|1614879104
.smaato.net	TRUE	/	TRUE	1616693509	SCM	53c391ae8dce02c8c2a8
.smaato.net	TRUE	/	TRUE	1615786309	SCMg	53c391ae8dce02c8c2a8
.adhigh.net	TRUE	/	TRUE	1646415116	gi_u	MDDOmH8C6L0.AikABlF3_kvN5A
